/diseases/search?disease='Smallpox' [GET, 404, testclient, 2022-03-14 22:58:07.048688, 0.5637s, 65B]
/diseases/search?disease='123' [GET, 404, testclient, 2022-03-14 22:58:07.259365, 0.0262s, 65B]
/diseases/search?disease='fabio' [GET, 404, testclient, 2022-03-14 22:58:07.297797, 0.0225s, 65B]
/diseases/search/outbreaks?location='AU' [GET, 404, testclient, 2022-03-14 22:58:07.348743, 0.0261s, 62B]
/diseases/search/outbreaks?location='123' [GET, 404, testclient, 2022-03-14 22:58:07.381664, 0.0218s, 63B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 22:58:07.412581, 0.0209s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:58:27.298079, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 22:58:27.910456, 0.6054s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 22:58:27.921430, 0.002s, 86B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 22:58:28.141650, 0.033s, 65B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 22:58:28.195265, 0.0405s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 22:58:28.203116, 0.001s, 93B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 22:58:28.252953, 0.0399s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:58:48.473480, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 22:58:49.093316, 0.6118s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 22:58:49.109248, 0.002s, 80B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 22:58:49.326190, 0.0306s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 22:58:49.368674, 0.0306s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 22:58:49.385577, 0.001s, 86B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 22:58:49.418837, 0.0243s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:59:27.199166, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 22:59:27.811957, 0.6038s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 22:59:27.818972, 0.001s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 22:59:27.853655, 0.0267s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 22:59:28.076954, 0.0358s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 22:59:28.094880, 0.001s, 86B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 22:59:28.132064, 0.0262s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:00:03.984660, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:00:04.699252, 0.7036s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:00:04.707231, 0.001s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:00:04.752152, 0.0369s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:00:04.783057, 0.023s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:00:04.791035, 0.001s, 86B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:00:05.024139, 0.0314s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:00:54.584714, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:00:55.214428, 0.6217s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:00:55.223408, 0.002s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:00:55.257333, 0.0264s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:00:55.316031, 0.0488s, 95B]
